"","carrier_name","arr_flights","on_time_ratio"
"1","Alaska Airlines Inc.",177280,0.87329083935018
"2","American Airlines Inc.",914495,0.793835942241346
"3","Delta Air Lines Inc.",922746,0.864764518079732
"4","ExpressJet Airlines Inc.",490990,0.798095684229821
"5","Frontier Airlines Inc.",95121,0.760168627327299
"6","Hawaiian Airlines Inc.",76789,0.910794514839365
"7","JetBlue Airways",282473,0.750068148106191
"8","SkyWest Airlines Inc.",605933,0.822780736484067
"9","Southwest Airlines Co.",1299444,0.80796325197546
"10","Spirit Air Lines",138199,0.743218113010948
"11","United Air Lines Inc.",545067,0.817053683308657
"12","Virgin America",69121,0.76214175142142
